"ts","ts_end","ts_delta","srcip","srcport","dstip","conn_dir","bytes_vol","pkt_vol"
1475795102000,1475795162000,60000,854153670,21578,-1062729170,1,3573,22
1475795102000,1475795162000,60000,854153670,31949,-1062729170,1,3701,23
1475795102000,1475795162000,60000,854153670,50513,-1062729170,0,3087,17
1475795102000,1475795162000,60000,854153670,22997,-1062729170,0,3191,18
1475795102000,1475795162000,60000,854153670,15861,-1062729170,1,3637,22
1475795102000,1475795162000,60000,854153670,15767,-1062729170,0,3087,17
1475795102000,1475795162000,60000,854153670,42550,-1062729170,1,3637,22
1475795102000,1475795162000,60000,854153670,15861,-1062729170,0,3087,17
1475795102000,1475795162000,60000,854153670,50541,-1062729170,1,3701,23
1475795102000,1475795162000,60000,854153670,50513,-1062729170,1,3637,22
1475795102000,1475795162000,60000,854153670,27339,-1062729170,0,3191,18
1475795102000,1475795162000,60000,854153670,28904,-1062729170,0,3087,17
1475795102000,1475795162000,60000,854153670,27339,-1062729170,1,3701,23
1475795102000,1475795162000,60000,854153670,22997,-1062729170,1,3701,23
1475795102000,1475795162000,60000,854153670,15767,-1062729170,1,3637,22
1475795102000,1475795162000,60000,854153670,21578,-1062729170,0,3087,17
1475795102000,1475795162000,60000,854153670,37901,-1062729170,1,3701,23
1475795102000,1475795162000,60000,854153670,9934,-1062729170,1,3701,23
1475795102000,1475795162000,60000,854153670,42550,-1062729170,0,3087,17
1475795102000,1475795162000,60000,854153670,54625,-1062729170,1,3637,22
1475795102000,1475795162000,60000,854153670,31949,-1062729170,0,3191,18
1475795102000,1475795162000,60000,854153670,13525,-1062729170,1,3741,24
1475795102000,1475795162000,60000,854153670,37901,-1062729170,0,3191,18
1475795102000,1475795162000,60000,854153670,9934,-1062729170,0,3191,18
1475795102000,1475795162000,60000,854153670,28904,-1062729170,1,3689,23
1475795102000,1475795162000,60000,854153670,54625,-1062729170,0,3087,17
1475795102000,1475795162000,60000,854153670,31660,-1062729170,1,3701,23
1475795102000,1475795162000,60000,854153670,50541,-1062729170,0,3191,18
1475795102000,1475795162000,60000,854153670,1358,-1062729170,1,3637,22
1475795102000,1475795162000,60000,854153670,3218,-1062729170,1,3105,15
1475795102000,1475795162000,60000,854153670,31660,-1062729170,0,3191,18
1475795102000,1475795162000,60000,854153670,1358,-1062729170,0,3087,17
1475795102000,1475795162000,60000,854153670,3218,-1062729170,0,2671,12
1475795102000,1475795162000,60000,854153670,13525,-1062729170,0,3295,19
1475795111000,1475795587000,476000,1187318598,1665,-1407319846,1,35665,496
1475795111000,1475795167000,56000,854153670,12031,-1407319846,1,3549,18
1475795111000,1475795167000,56000,854153670,13477,-1407319846,1,3437,17
1475795111000,1475795167000,56000,854153670,23152,-1407319846,1,3549,18
1475795111000,1475795167000,56000,854153670,23152,-1407319846,0,3171,15
1475795111000,1475795167000,56000,854153670,12031,-1407319846,0,3171,15
1475795111000,1475795167000,56000,854153670,1614,-1407319846,0,3171,15
1475795111000,1475795167000,56000,854153670,11952,-1407319846,1,3549,18
1475795111000,1475795167000,56000,854153670,39202,-1407319846,1,3549,18
1475795111000,1475795167000,56000,854153670,13477,-1407319846,0,3119,14
1475795111000,1475795167000,56000,854153670,11952,-1407319846,0,3171,15
1475795111000,1475795167000,56000,854153670,1614,-1407319846,1,3549,18
1475795111000,1475795587000,476000,1187318598,1665,-1407319846,0,30151,259
1475795111000,1475795167000,56000,854153670,13927,-1407319846,1,3549,18
1475795111000,1475795167000,56000,854153670,39202,-1407319846,0,3171,15
1475795111000,1475795167000,56000,854153670,13927,-1407319846,0,3171,15
1475795158000,1475795216000,58000,854153670,2008,-1407319177,0,2811,14
1475795158000,1475795216000,58000,854153670,2008,-1407319177,1,2793,17
1475795158000,1475795216000,58000,854153670,2828,-1407319177,0,32263,86
1475795158000,1475795216000,58000,854153670,2828,-1407319177,1,10433,127
1475795162000,1475795222000,60000,854153670,48970,-1062729170,0,3191,18
1475795162000,1475795222000,60000,854153670,52513,-1062729170,0,3087,17
1475795162000,1475795222000,60000,854153670,32564,-1062729170,1,3637,22
1475795162000,1475795222000,60000,854153670,40477,-1062729170,0,3087,17
1475795162000,1475795222000,60000,854153670,24441,-1062729170,0,3191,18
1475795162000,1475795222000,60000,854153670,24441,-1062729170,1,3701,23
1475795162000,1475795222000,60000,854153670,64383,-1062729170,1,3984,27
1475795162000,1475795222000,60000,854153670,32564,-1062729170,0,3087,17
1475795162000,1475795222000,60000,854153670,4260,-1062729170,0,3191,18
1475795162000,1475795222000,60000,854153670,58553,-1062729170,0,3087,17
1475795162000,1475795222000,60000,854153670,25310,-1062729170,0,3087,17
1475795162000,1475795222000,60000,854153670,4958,-1062729170,1,3701,23
1475795162000,1475795222000,60000,854153670,22039,-1062729170,0,3087,17
1475795162000,1475795222000,60000,854153670,36606,-1062729170,0,3087,17
1475795162000,1475795222000,60000,854153670,50842,-1062729170,1,3637,22
1475795162000,1475795222000,60000,854153670,22359,-1062729170,0,3087,17
1475795162000,1475795222000,60000,854153670,3218,-1062729170,1,596,8
1475795162000,1475795222000,60000,854153670,3218,-1062729170,0,520,6
1475795162000,1475795222000,60000,854153670,22039,-1062729170,1,3637,22
1475795162000,1475795222000,60000,854153670,15608,-1062729170,0,3087,17
1475795162000,1475795222000,60000,854153670,4958,-1062729170,0,3191,18
1475795162000,1475795222000,60000,854153670,5056,-1062729170,0,3087,17
1475795162000,1475795282000,120000,854153670,44310,-1062729170,1,3613,22
1475795162000,1475795222000,60000,854153670,50842,-1062729170,0,3087,17
1475795162000,1475795222000,60000,854153670,52513,-1062729170,1,3637,22
1475795162000,1475795222000,60000,854153670,58553,-1062729170,1,3637,22
1475795162000,1475795222000,60000,854153670,36606,-1062729170,1,3637,22
1475795162000,1475795222000,60000,854153670,48970,-1062729170,1,3637,23
1475795162000,1475795222000,60000,854153670,25310,-1062729170,1,3573,22
1475795162000,1475795222000,60000,854153670,43767,-1062729170,1,3701,23
1475795162000,1475795222000,60000,854153670,4260,-1062729170,1,3701,23
1475795162000,1475795282000,120000,854153670,44310,-1062729170,0,3139,18
1475795162000,1475795222000,60000,854153670,15608,-1062729170,1,3637,22
1475795162000,1475795222000,60000,854153670,43767,-1062729170,0,3191,18
1475795162000,1475795222000,60000,854153670,5056,-1062729170,1,3637,22
1475795162000,1475795222000,60000,854153670,40477,-1062729170,1,3637,22
1475795162000,1475795222000,60000,854153670,22359,-1062729170,1,3637,22
1475795162000,1475795222000,60000,854153670,64383,-1062729170,0,5033,25
1475795218000,1475795276000,58000,873027881,55752,-1407319177,0,3823,21
1475795218000,1475795276000,58000,873027881,55750,-1407319177,1,5239,31
1475795218000,1475795276000,58000,873027881,55754,-1407319177,1,4703,21
1475795218000,1475795276000,58000,873027881,55754,-1407319177,0,3771,20
1475795218000,1475795276000,58000,873027881,55752,-1407319177,1,4755,22
1475795218000,1475795276000,58000,873027881,55756,-1407319177,1,5863,23
1475795218000,1475795456000,238000,854153670,2828,-1407319177,1,5860,97
1475795218000,1475795276000,58000,873027881,55756,-1407319177,0,3855,21
1475795218000,1475795456000,238000,854153670,2828,-1407319177,0,20472,78
1475795218000,1475795276000,58000,873027881,55750,-1407319177,0,5303,32
1475795223000,1475795282000,59000,854153670,18489,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,5224,-1062729170,1,3701,23
1475795223000,1475795282000,59000,854153670,27253,-1062729170,1,3753,24
1475795223000,1475795282000,59000,854153670,7457,-1062729170,1,3637,22
1475795223000,1475795282000,59000,854153670,54917,-1062729170,1,3693,23
1475795223000,1475795282000,59000,854153670,11722,-1062729170,1,3637,22
1475795223000,1475795282000,59000,854153670,7457,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,55764,-1062729170,1,3637,22
1475795223000,1475795282000,59000,854153670,38667,-1062729170,1,3637,22
1475795223000,1475795282000,59000,854153670,49155,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,62801,-1062729170,1,3637,22
1475795223000,1475795282000,59000,854153670,47641,-1062729170,1,3701,23
1475795223000,1475795342000,119000,854153670,60505,-1062729170,1,3637,22
1475795223000,1475795282000,59000,854153670,62801,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,59178,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,47641,-1062729170,0,3191,18
1475795223000,1475795282000,59000,854153670,10309,-1062729170,0,3191,18
1475795223000,1475795282000,59000,854153670,18489,-1062729170,1,3573,22
1475795223000,1475795282000,59000,854153670,55764,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,53283,-1062729170,1,3701,23
1475795223000,1475795282000,59000,854153670,13059,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,3294,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,11722,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,49155,-1062729170,1,3637,22
1475795223000,1475795282000,59000,854153670,3294,-1062729170,1,3637,22
1475795223000,1475795282000,59000,854153670,39120,-1062729170,1,3701,23
1475795223000,1475795282000,59000,854153670,38667,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,58325,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,27253,-1062729170,0,3191,18
1475795223000,1475795342000,119000,854153670,60505,-1062729170,0,3087,17
1475795223000,1475795282000,59000,854153670,5224,-1062729170,0,3191,18
1475795223000,1475795282000,59000,854153670,54917,-1062729170,0,3151,18
1475795223000,1475795282000,59000,854153670,53283,-1062729170,0,3191,18
1475795223000,1475795282000,59000,854153670,59178,-1062729170,1,3637,22
1475795223000,1475795282000,59000,854153670,10309,-1062729170,1,3701,23
1475795223000,1475795282000,59000,854153670,13059,-1062729170,1,3637,22
1475795223000,1475795282000,59000,854153670,58325,-1062729170,1,3637,22
1475795223000,1475795282000,59000,854153670,39120,-1062729170,0,3191,18
1475795255000,1475795303000,48000,1607859387,60011,168428808,1,1671,13
1475795255000,1475795303000,48000,1607859387,60011,168428808,0,3143,11
1475795283000,1475795342000,59000,854153670,30990,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,64412,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,1500,-1062729170,0,3191,18
1475795283000,1475795342000,59000,854153670,7774,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,48429,-1062729170,1,3637,22
1475795283000,1475795402000,119000,854153670,39475,-1062729170,1,3573,22
1475795283000,1475795342000,59000,854153670,19472,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,25960,-1062729170,0,3191,18
1475795283000,1475795342000,59000,854153670,22336,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,17849,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,15474,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,34456,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,25960,-1062729170,1,3701,23
1475795283000,1475795342000,59000,854153670,6871,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,1500,-1062729170,1,3701,23
1475795283000,1475795342000,59000,854153670,6871,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,22336,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,40924,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,10132,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,63414,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,16716,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,40924,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,17849,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,64412,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,30990,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,21707,-1062729170,1,3637,23
1475795283000,1475795342000,59000,854153670,9459,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,16716,-1062729170,0,3087,17
1475795283000,1475795402000,119000,854153670,39475,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,7774,-1062729170,1,3573,22
1475795283000,1475795342000,59000,854153670,15696,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,15474,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,63414,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,19472,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,9459,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,21707,-1062729170,0,3191,18
1475795283000,1475795342000,59000,854153670,10132,-1062729170,1,3637,22
1475795283000,1475795342000,59000,854153670,15696,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,48429,-1062729170,0,3087,17
1475795283000,1475795342000,59000,854153670,34456,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,64002,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,5729,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,19513,-1062729170,0,3191,18
1475795343000,1475795402000,59000,854153670,30278,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,33669,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,59324,-1062729170,1,3689,23
1475795343000,1475795402000,59000,854153670,43328,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,38463,-1062729170,1,3701,23
1475795343000,1475795402000,59000,854153670,59324,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,65211,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,41121,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,65211,-1062729170,1,3573,22
1475795343000,1475795402000,59000,854153670,33669,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,62210,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,24389,-1062729170,0,2671,12
1475795343000,1475795402000,59000,854153670,5729,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,30278,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,56430,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,47276,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,27172,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,64002,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,38500,-1062729170,1,3701,23
1475795343000,1475795402000,59000,854153670,43328,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,38500,-1062729170,0,3191,18
1475795343000,1475795402000,59000,854153670,41121,-1062729170,1,3573,22
1475795343000,1475795402000,59000,854153670,47276,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,37040,-1062729170,0,3603,21
1475795343000,1475795402000,59000,854153670,37040,-1062729170,1,4045,28
1475795343000,1475795402000,59000,854153670,38463,-1062729170,0,3191,18
1475795343000,1475795402000,59000,854153670,42012,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,19513,-1062729170,1,3701,23
1475795343000,1475795402000,59000,854153670,42012,-1062729170,1,3613,22
1475795343000,1475795402000,59000,854153670,27172,-1062729170,0,3087,17
1475795343000,1475795402000,59000,854153670,56430,-1062729170,1,3637,22
1475795343000,1475795402000,59000,854153670,62210,-1062729170,1,3613,22
1475795343000,1475795402000,59000,854153670,24389,-1062729170,1,3105,15
1475795403000,1475795462000,59000,854153670,16496,-1062729170,0,3191,19
1475795403000,1475795462000,59000,854153670,23414,-1062729170,1,3637,23
1475795403000,1475795462000,59000,854153670,32878,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,32160,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,35123,-1062729170,0,3191,18
1475795403000,1475795462000,59000,854153670,47910,-1062729170,0,3191,18
1475795403000,1475795462000,59000,854153670,24389,-1062729170,1,596,8
1475795403000,1475795462000,59000,854153670,24403,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,34704,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,24389,-1062729170,0,520,6
1475795403000,1475795462000,59000,854153670,62903,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,45350,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,32160,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,59422,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,16496,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,21921,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,47013,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,59042,-1062729170,0,3191,18
1475795403000,1475795462000,59000,854153670,3736,-1062729170,0,3191,18
1475795403000,1475795462000,59000,854153670,23414,-1062729170,0,3191,18
1475795403000,1475795462000,59000,854153670,47013,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,32878,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,47910,-1062729170,1,3701,23
1475795403000,1475795462000,59000,854153670,24403,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,59042,-1062729170,1,3701,23
1475795403000,1475795462000,59000,854153670,35123,-1062729170,1,3701,23
1475795403000,1475795462000,59000,854153670,61204,-1062729170,0,2671,12
1475795403000,1475795462000,59000,854153670,26639,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,1430,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,61204,-1062729170,1,3105,15
1475795403000,1475795462000,59000,854153670,59422,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,3736,-1062729170,1,3701,23
1475795403000,1475795462000,59000,854153670,62903,-1062729170,1,3637,22
1475795403000,1475795462000,59000,-1185039889,34917,-1062729170,1,1397,13
1475795403000,1475795462000,59000,854153670,34704,-1062729170,1,3637,22
1475795403000,1475795462000,59000,-1185039889,34917,-1062729170,0,2851,15
1475795403000,1475795462000,59000,854153670,1430,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,9156,-1062729170,1,3637,22
1475795403000,1475795462000,59000,854153670,21921,-1062729170,0,3139,18
1475795403000,1475795462000,59000,854153670,9156,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,26639,-1062729170,0,3087,17
1475795403000,1475795462000,59000,854153670,45350,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,24498,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,34554,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,24498,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,16164,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,27248,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,50243,-1062729170,1,3637,22
1475795463000,1475795583000,120000,854153670,41143,-1062729170,0,3191,18
1475795463000,1475795522000,59000,854153670,62016,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,34717,-1062729170,1,3701,23
1475795463000,1475795522000,59000,854153670,19914,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,31047,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,7895,-1062729170,0,3191,18
1475795463000,1475795522000,59000,854153670,60007,-1062729170,0,3191,18
1475795463000,1475795522000,59000,854153670,5085,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,16164,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,62016,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,60723,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,16165,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,36553,-1062729170,1,3701,23
1475795463000,1475795522000,59000,854153670,31047,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,50243,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,64660,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,37574,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,37574,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,41649,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,19914,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,34717,-1062729170,0,3191,18
1475795463000,1475795522000,59000,854153670,64660,-1062729170,0,3087,17
1475795463000,1475795583000,120000,854153670,41143,-1062729170,1,3701,23
1475795463000,1475795522000,59000,854153670,5085,-1062729170,0,3087,17
1475795463000,1475795522000,59000,854153670,60723,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,36553,-1062729170,0,3191,18
1475795463000,1475795522000,59000,854153670,16165,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,60007,-1062729170,1,3701,23
1475795463000,1475795522000,59000,854153670,27248,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,7895,-1062729170,1,3701,23
1475795463000,1475795522000,59000,854153670,61204,-1062729170,1,596,8
1475795463000,1475795522000,59000,854153670,41649,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,34554,-1062729170,1,3637,22
1475795463000,1475795522000,59000,854153670,61204,-1062729170,0,520,6
1475795523000,1475795583000,60000,854153670,11417,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,52380,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,2314,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,52296,-1062729170,1,3637,22
1475795523000,1475795583000,60000,854153670,30021,-1062729170,0,3087,17
